AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia
STN	London Stansted Airport	Essex (near London), England, United Kingdom
STO	All Airports	Stockholm, Sweden
STP	St. Paul Downtown Airport (Holman Field)	St. Paul, Minnesota, United States
STQ	St. Marys Municipal Airport	St. Marys, Pennsylvania, United States
STR	Echterdingen Airport	Stuttgart, Germany
STS	Charles M. Schulz Sonoma County Airport	Santa Rosa, California, United States
STT	Cyril E. King Airport	Charlotte Amalie, Saint Thomas, United States Virgin Islands
STW	Stavropol Shpakovskoye Airport	Stavropol, Russia
STX	Henry E. Rohlsen Airport	Christiansted, Saint Croix, United States Virgin Islands
SUA	Witham Field	Stuart, Florida, United States
SUB	Juanda International Airport	Surabaya, Indonesia
SUD	Stroud Municipal Airport	Stroud, Oklahoma, United States
SUE	Door County Cherryland Airport	Sturgeon Bay, Wisconsin, United States
SUF	Lamezia Terme International Airport	Lamezia Terme, Italy
SUG	Surigao Airport	Surigao City, Surigao del Norte, Philippines
SUI	Sukhumi Dranda Airport	Sukhumi, Georgia
SUJ	Satu Mare International Airport	Satu Mare, Romania
SUM	Sumter Airport	Sumter, South Carolina, United States
SUN	Friedman Memorial Airport	Hailey, Idaho, United States
SUO	Sunriver Airport	Sunriver, Oregon, United States
SUS	Spirit of St. Louis Airport	Chesterfield, Missouri, United States
SUT	Brunswick County Airport	Oak Island, North Carolina, United States
SUU	Travis AFB	Fairfield, California, United States
SUV	Nausori International Airport	Nausori, Fiji
SUW	Richard I. Bong Airport	Superior, Wisconsin, United States
SUX	Sioux Gateway Airport (Colonel Bud Day Field)	Sioux City, Iowa, United States
SVA	Savoonga Airport	Savoonga, Alaska, United States
SVC	Grant County Airport	Silver City, New Mexico, United States
SVD	E.T. Joshua Airport	Arno Vale (near Kingstown), Saint Vincent
SVE	Susanville Municipal Airport	Susanville, California, United States
SVF	Savé Airport	Savé, Benin
SVG	Stavanger Airport, Sola	Stavanger, Norway
SVH	Statesville Regional Airport	Statesville, North Carolina, United States
SVJ	Svolvær Airport, Helle	Svolvær, Norway
SVN	Hunter AAF	Savannah, Georgia, United States
SVO	Sheremetyevo International Airport	Moscow, Russia
SVQ	San Pablo Airport	Seville, Spain
SVS	Stevens Village Airport	Stevens Village, Alaska, United States
SVW	Sparrevohn LRRS	Sparrevohn, Alaska, United States
SVX	Koltsovo International Airport	Yekaterinburg, Russia
SVZ	Juan Vicente Gómez International Airport	San Antonio del Táchira, Venezuela
SWA	Shantou Airport	Shantou, China
SWD	Seward Airport	Seward, Alaska, United States
SWF	Stewart International Airport	Newburgh, New York, United States
SWI	Sherman Municipal Airport	Sherman, Texas, United States
SWN	Sahiwal Airport	Sahiwal, Pakistan
SWO	Stillwater Regional Airport	Stillwater, Oklahoma, United States
SWS	Swansea Airport	Swansea, United Kingdom
SWT	Seward Municipal Airport	Seward, Nebraska, United States
SWW	Avenger Field	Sweetwater, Texas, United States
SWY	Sitiawan Airport	Perak, Malaysia
SXB	Strasbourg Entzheim International Airport	Strasbourg, France
SXF	Berlin-Schönefeld International Airport	Berlin, Germany
SXL	Sligo Airport	Strandhill (near Sligo), Ireland
SXM	Princess Juliana International Airport	Philipsburg, Sint Maarten, Netherlands Antilles
SXP	Sheldon Point Airport	Sheldon Point, Alaska, United States
SXQ	Soldotna Airport	Soldotna, Alaska, United States
SXR	Sheikh Ul Alam International Airport	Srinagar, India
SXV	Salem Airport	Salem, India
SXZ	Siirt Airport	Siirt, Turkey
SYA	Eareckson AS	Shemya, Alaska, United States
SYD	Sydney Airport	Mascot (near Sydney), Australia
SYF	Cheyenne County Municipal Airport	St. Francis, Kansas, United States
SYI	Shelbyville Municipal Airport (Bomar Field)	Shelbyville, Tennessee, United States
SYL	Roberts Army Heliport	Camp Roberts, San Luis Obispo County, California, United States
SYN	Stanton Airfield	Stanton, Minnesota, United States
SYP	Ruben Cantu Airport	Santiago de Veraguas, Panama
SYQ	Tobías Bolaños International Airport	San José, Costa Rica
SYR	Syracuse Hancock International Airport	Mattydale (near Syracuse), New York, United States
SYV	Sylvester Airport	Sylvester, Georgia, United States
SYX	Sanya Fenghuang International Airport	Hainan Island, China
SYY	Stornoway Airport	Stornoway, Scotland, United Kingdom
SYZ	Shiraz International Airport	Shiraz, Iran
SZB	Sultan Abdul Aziz Shah Airport	Subang (near Kuala Lumpur), Malaysia
SZD	Sheffield City Airport	Sheffield, England
SZF	Carsamba Airport	Samsun, Turkey
SZG	Salzburg Airport	Salzburg, Austria
SZI	Zaysan Airport	Zaysan, Kazakhstan
SZL	Whiteman AFB	Knob Noster, Missouri, United States
SZN	Santa Cruz Island Airport	Santa Barbara, California, United States
SZP	Santa Paula Airport	Santa Paula, California, United States
SZQ	Saenz Peña Airport	Santos Lugares, Buenos Aires, Argentina
SZR	Stara Zagora Airport	Stara Zagora, Bulgaria
SZS	Ryans Creek Aerodrome	Stewart Island, New Zealand
SZT	San Cristóbal de las Casas National Airport	Chiapas, Mexico
SZV	Suzhou Airport	Suzhou (near Shanghai), China
SZW	Schwerin-Parchim Airport	Parchim, Germany
SZX	Shenzhen - Baoan International Airport	Shenzhen, Guangdong, China,[2]
SZY	Szczytno-Snationalrt	Szymany (near Szczytno), Poland
SZZ	Szczecin-Goleniów 'Solidarnosc' Airport	Goleniów (near Szczecin), Poland
TAB	Crown Point International Airport	Scarborough, Tobago, Trinidad and Tobago
TAC	Daniel Z. Romualdez Airport (Tacloban Airport)	Tacloban City, Philippines
TAD	Perry Stokes Airport	Trinidad, Colorado, United States
TAE	Daegu International Airport	Daegu, South Korea
TAF	Oran Tafaraoui Airport	Oran, Algeria
TAG	Tagbilaran Airport	Tagbilaran City, Bohol, Philippines
TAI	Ta'izz International Airport	Ta'izz, Yemen
TAJ	Tadji Airport	Aitape, Papua New Guinea
TAL	Ralph M. Calhoun Memorial Airport	Tanana, Alaska, United States
TAM	General Francisco Javier Mina International Airport	Tampico, Tamaulipas Mexico
TAN	Taunton Municipal Airport	Taunton, Massachusetts, United States
TAO	Qingdao Liuting International Airport	Qingdao, China
TAP	Tapachula International Airport	Tapachula, Chiapas, Mexico
TAR	Taranto-Grottaglie 'Marcello Arlotta' Airport	Grottaglie, Puglia, Italy
TAS	Yuzhny Airport	Tashkent, Uzbekistan
TAT	Poprad-Tatry Airport	Poprad, Slovakia
TAV	Tau Airport	Tau, American Samoa
TAY	Tartu-Ülenurme Airport	Tartu, Estonia
TAZ	Taylorville Municipal Airport	Taylorville, Illinois, United States
TBH	Romblon Airport (Tablas Airport)	Alcantara, Romblon, Philippines
TBI	The Bight Airport	New Bight, Cat Island, Bahamas
TBJ	Tabarka - 7 Novembre International Airport	Tabarka, Tunisia
TBN	Waynesville-St. Robert Regional Airport (Forney Field)	Fort Leonard Wood, Missouri, United States
TBR	Statesboro-Bulloch County Airport	Statesboro, Georgia, United States
TBS	Tbilisi International Airport	Tbilisi, Georgia
TBT	Tabatinga International Airport	Tabatinga, Brazil
TBU	Fuaʻamotu International Airport	Nukuʻalofa, Tongatapu, Tonga
TBZ	Tabriz International Airport	Tabriz, Iran
TCB	Treasure Cay Airport	Treasure Cay, Abaco Islands, Bahamas
TCC	Tucumcari Municipal Airport	Tucumcari, New Mexico, United States
TCI	All Airports	Tenerife, Canary Islands, Spain
TCL	Tuscaloosa Regional Airport	Tuscaloosa, Alabama, United States
TCM	McChord AFB	Tacoma, Washington, United States
TCN	Tehuacán Airport	Tehuacán, Puebla, Mexico
TCP	Taba International Airport	Taba, Egypt
TCS	Truth or Consequences Municipal Airport	Truth or Consequences, New Mexico, United States
TCT	Takotna Airport	Takotna, Alaska, United States
TCV	Matunda Airport	Matunda - Tete, Mozambique
TCX	Tabas Airport	Tabas, Algeria
TCY	Tracy Municipal Airport	Tracy, California, United States
TDD	Teniente Jorge Henrich Arauz Airport	Trinidad, Bolivia
TDF	Person County Airport	Roxboro, North Carolina, United States
TDG	Tandag Airport	Tandag, Surigao del Sur, Philippines
TDK	Taldykorgan Airport	Taldykorgan, Kazakhstan
TDL	Tandil Airport	Tandil, Argentina
TDO	South Lewis County Airport (Ed Carlson Memorial Field)	Toledo, Washington, United States
TDW	Tradewind Airport	Amarillo, Texas, United States
TDX	Trat Airport	Trat, Thailand
TDZ	Metcalf Field	Toledo, Ohio, United States
TEB	Teterboro Airport	Teterboro, New Jersey, United States
TED	Thisted Airport	Thisted, Denmark
TEG	Tenkodogo Airport	Tenkodogo, Burkina Faso
TEI	Tezu Airport	Tezu, India
TEK	Tatitlek Airport	Tatitlek, Alaska, United States
TEL	Perry County Municipal Airport	Tell City, Indiana, United States
TEN	Tongren Daxing Airport	Tongren, Guizhou, People’s Republic of China
TEQ	Çorlu Airport	Tekirdag, Turkey
TER	Lajes Airport	Lajes, Azores, Portugal
TET	Chingozi Airport	Tete, Mozambique
TEW	Mason Jewett Field	Mason, Michigan, United States
TEX	Telluride Regional Airport	Telluride, Colorado, United States
TEZ	Tezpur Airport	Tezpur, India
TFF	Tefé Airport	Tefé, Amazonas, Brazil
TFN	Tenerife North Airport (Los Rodeos)	Tenerife, Canary Islands, Spain
TFS	Tenerife South Airport (Reina Sofia)	Tenerife, Canary Islands, Spain
TGB	Tagbita Airport	Rizal, Palawan, Philippines
TGC	Gibson County Airport	Trenton, Tennessee, United States
TGD	Podgorica Airport	Golubovci (near Podgorica), Montenegro
TGI	Tangier Island Airport	Tangier, Virginia, United States
TGM	Târgu Mures International Airport	Târgu-Mures, Romania
TGU	Toncontín International Airport	Tegucigalpa, Honduras
TGZ	Angel Albino Corzo International Airport	Tuxtla Gutiérrez, Chiapas, Mexico
THA	Tullahoma Regional Airport (William Northern Field)	Tullahoma, Tennessee, United States
THC	Tchien Airport	Tchien, Liberia
THE	Teresina Airport	Teresina, Piauí, Brazil
THF	Tempelhof International Airport (closed 2008)	Berlin, Germany
THI	Tichitt Airport	Tichitt, Mauritania
THL	Tachilek Airport	Tachilek, Myanmar
THM	Thompson Falls Airport	Thompson Falls, Montana, United States
THN	Trollhättan-Vänersborg Airport	Trollhättan / Vänersborg, Sweden
THO	Thorshofn Airport	Þórshöfn, Iceland
THP	Hot Springs County-Thermopolis Municipal Airport	Thermopolis, Wyoming, United States
THR	Mehrabad International Airport	Tehran, Iran
THS	Sukhothai Airport	Sukhothai, Thailand
THT	Tamchakett Airport	Tamchakett, Mauritania
THU	Thule Air Base	Pituffik, Greenland
THV	York Airport	York, Pennsylvania, United States
THZ	Tahoua Airport	Tahoua, Niger
TIA	Tirana International Airport	Tirana, Albania
TIC	Tinak Airport	Tinak, Arno Atoll, Marshall Islands
TIF	Taif Airport	Ta'if, Saudi Arabia
TII	Tarin Kowt Airport	Tarin Kowt, Afghanistan
TIK	Tinker AFB	Oklahoma City, Oklahoma, United States
TIJ	General Abelardo L. Rodríguez International Airport	Tijuana, Mexico
TIP	Tripoli International Airport	Tripoli, Libya
TIR	Tirupati Airport	Tirupati, Andhra Pradesh, India
TIU	Richard Pearse Airport	Timaru, New Zealand
TIV	Tivat Airport	Tivat, Montenegro
TIW	Tacoma Narrows Airport	Tacoma, Washington, United States
TIX	Space Coast Regional Airport	Titusville, Florida, United States
TIY	Tidjikja Airport	Tidjikja, Mauritania
TJA	Capitán Oriel Lea Plaza Airport	Tarija, Bolivia
TJK	Tokat Airport	Tokat, Turkey
TJM	Roschino Airport	Tyumen, Russia
TJQ	Buluh Tumbang Airport	Tanjung Pandan, Bangka-Belitung, Indonesia
TKA	Talkeetna Airport	Talkeetna, Alaska, United States
TKD	Takoradi Airport	Sekondi-Takoradi, Ghana
TKI	Tokeen Seaplane Base	Tokeen, Alaska, United States
TKJ	Tok Airport	Tok, Alaska, United States
TKK	Chuuk International Airport	Weno, Federated States of Micronesia
TKT	Tak Airport	Tak, Thailand
TKU	Turku Airport	Turku, Finland
TLA	Teller Airport	Teller, Alaska, United States
TLC	Lic. Adolfo López Mateos International Airport	Toluca, Estado de México, Mexico
TLH	Tallahassee Regional Airport	Tallahassee, Florida, United States
TLJ	Tatalina LRRS	Takotna, Alaska, United States
TLL	Tallinn Airport	Tallinn, Estonia
TLN	Toulon-Hyères Airport	Toulon, France
TLR	Mefford Field	Tulare, California, United States
TLS	Toulouse Blagnac International Airport	Toulouse, France
TLT	Tuluksak Airport	Tuluksak, Alaska, United States
TLV	Ben Gurion International Airport	Lod (near Tel Aviv), Israel
TMA	Henry Tift Myers Airport	Tifton, Georgia, United States
TMB	Kendall-Tamiami Executive Airport	Miami, Florida, United States
TMD	Timbedra Airport	Timbedra, Mauritania
TME	Gabriel Vargas Santos Airport	Tame, Arauca, Colombia
TMJ	Termez Airport	Termez, Uzbekistan
TML	Tamale Airport	Tamale, Ghana, Ghana
TMM	Toamasina Airport	Toamasina, Madagascar
TMP	Tampere-Pirkkala Airport	Tampere / Pirkkala, Finland
TMQ	Tambao Airport	Tambao, Burkina Faso
TMR	Tamanrasset Airport	Tamanrasset, Algeria
TMS	São Tomé International Airport	São Tomé, São Tomé and Príncipe
TMT	Trombetas Airport	Porto Trombetas, Pará, Brazil
TMU	Tambor Airport	Tambor, Costa Rica
TMW	Tamworth Airport	Tamworth, New South Wales, Australia
TMZ	Thames Airport	Thames, New Zealand
TNA	Jinan Yaoqiang International Airport	China
TNC	Tin City LRRS Airport	Tin City, Alaska, United States
TNF	Toussus-le-Noble Airport	Toussus-le-Noble, France
TNG	Ibn Batouta International Airport	Tangier, Morocco
TNH	Tonghua Liuhe Airport	Tonghua, Jilin, China
TNI	Tinian International Airport	Tinian Island, Northern Mariana Islands, United States
TNM	Teniente R. Marsh Airport	Antarctica
TNN	Tainan Airport (zh:????)	Tainan City, Taiwan
TNO	Tamarindo Airport	Tamarindo, Costa Rica
TNP	Twentynine Palms Airport	Twentynine Palms, California, United States
TNQ	Teraina Airport	Teraina, Kiribati
TNR	Ivato Airport	Antananarivo, Madagascar
TNT	Dade-Collier Training and Transition Airport	Miami, Florida, United States
TNU	Newton Municipal Airport	Newton, Iowa, United States
TNW	Tin Creek Airport	Farewell Lake, Alaska, United States
TOA	Zamperini Field	Torrance, California, United States
TOB	Dodge Center Airport	Dodge Center, Minnesota, United States
TOC	Toccoa RG Letourneau Field	Toccoa, Georgia, United States
TOF	Bogashevo Airport	Tomsk, Russia
TOG	Togiak Airport	Togiak Village, Alaska, United States
TOI	Troy Municipal Airport	Troy, Alabama, United States
TOJ	Madrid-Torrejón Airport	Torrejón de Ardoz, Spain
TOL	Toledo Express Airport	Toledo, Ohio, United States
TOM	Timbuktu Airport	Timbuktu, Mali
TOP	Philip Billard Municipal Airport	Topeka, Kansas, United States
TOR	Torrington Municipal Airport	Torrington, Wyoming, United States
TOS	Tromsø Airport	Tromsø, Norway
TOT	Coronie Airport	Totness, Coronie, Suriname
TOY	Toyama Airport	Toyama, Toyama, Japan,
TPA	Tampa International Airport	Tampa, Florida, United States
TPE	Taiwan Taoyuan International Airport	Taoyuan County, Taiwan (near Taipei), Taiwan
TPF	Peter O. Knight Airport	Tampa, Florida, United States
TPH	Tonopah Airport	Tonopah, Nevada, United States
TPL	Draughon-Miller Central Texas Regional Airport	Temple, Texas, United States
TPO	Port Alsworth Airport	Port Alsworth, Alaska, United States
TPQ	Amado Nervo National Airport	Tepic, Nayarit, Mexico
TPR	Tom Price Airport	Tom Price, Western Australia, Australia
TPS	Trapani-Birgi Airport	Trapani, Italy
TQE	Tekamah Municipal Airport	Tekamah, Nebraska, United States
TQH	Tahlequah Municipal Airport	Tahlequah, Oklahoma, United States
TQK	Scott City Municipal Airport	Scott City, Kansas, United States
TQN	Taloqan Airport	Taloqan, Afghanistan
TRC	Francisco Sarabia International Airport (Torreon International Airport)	Torreón, Coahuila, Mexico
TRD	Trondheim Airport, Værnes	Trondheim, Sør-Trøndelag, Norway
TRF	Sandefjord Airport, Torp	Torp (near Sandefjord), Norway
TRG	Tauranga Airport	Tauranga, New Zealand
TRH	Trona Airport	Trona, California
TRI	Tri-Cities Regional Airport	Blountville, Tennessee (Tri-Cities area), United States
TRK	Truckee-Tahoe Airport	Truckee, California, United States
TRL	Terrell Municipal Airport	Terrell, Texas, United States
TRM	Jacqueline Cochran Regional Airport	Palm Springs, California, United States
TRN	Turin International Airport	Turin, Italy
TRR	China Bay Airport	Trincomalee, Sri Lanka
TRS	Friuli Venezia Giulia Airport	Trieste, Italy
TRU	Cap. FAP Carlos Martínez de Pinillos International Airport	Trujillo, Peru
TRV	Trivandrum International Airport	Trivandrum, India
TRW	Bonriki International Airport	Tarawa, Kiribati
TRX	Trenton Municipal Airport	Trenton, Missouri, United States
TRZ	Tiruchirapalli Airport	Trichy, India
TSA	Taipei Songshan Airport	Taipei City, Taiwan
TSE	Astana Airport	Astana, Kazakhstan
TSF	Treviso Airport	Treviso, Italy
TSG	Tanacross Airport	Tanacross, Alaska, United States
TSL	Tamuín National Airport	Tamuín, San Luis Potosí, Mexico
TSN	Tianjin Binhai International Airport	Tianjin (near Beijing), People's Republic of China
TSO	Carroll County-Tolson Airport	Carrollton, Ohio, United States
TSP	Tehachapi Municipal Airport	Tehachapi, California, United States
TSR	Traian Vuia International Airport	Timisoara, Romania
TSS	East 34th Street Heliport	New York City
TST	Trang Airport	Trang, Thailand
TSV	Townsville International Airport	Queensland, Australia
TSY	Tasikmalaya Airport	Tasikmalaya, West Java, Indonesia
TSZ	Tsetserleg Airport	Tsetserleg, Arkhangai, Mongolia
TTA	Tan Tan Airport (Plage Blanche Airport)	Tan Tan, Morocco
TTB	Tortolì Airport	Sardinia, Italy
TTD	Portland-Troutdale Airport	Portland, Oregon, United States
TTF	Custer Airport	Monroe, Michigan, United States
TTG	Tartagal Airport	Tartagal, Salta, Argentina
TTM	Tablón de Tamara	(Colombia)
TTN	Trenton-Mercer Airport	Trenton, New Jersey, United States
TTQ	Tortuguero Airport	Tortuguero, Costa Rica
TTS	Tsaratanana Airport	Tsaratanana, Madagascar.
TTT	Taitung Airport	Taitung, Taiwan
TTU	Sania Ramel	Tétouan, Morocco
TTW	Cantwell Airport	Cantwell, Alaska, United States
TUA	Teniente Coronel Luis a Mantilla International Airport	Tulcán, Ecuador
TUC	Teniente General Benjamín Matienzo International Airport	San Miguel de Tucumán, Argentina
TUD	Tambacounda Airport	Tambacounda, Senegal
TUF	Tours Val de Loire Airport	Tours, France
TUG	Tuguegarao Airport	Tuguegarao City, Cagayan, Philippines
TUL	Tulsa International Airport	Tulsa, Oklahoma, United States
TUN	Tunis-Carthage International Airport	Tunis / Carthage, Tunisia
TUO	Taupo Airport	Taupo, New Zealand
TUP	Tupelo Regional Airport	Tupelo, Mississippi, United States
TUQ	Tougan Airport	Tougan, Burkina Faso
TUS	Tucson International Airport	Tucson, Arizona, United States
TUU	Tabuk Regional Airport	Tabuk, Saudi Arabia
TUY	Tulum Airport	Tulum, Quintana Roo, Mexico
TVB	Cabool Memorial Airport	Cabool, Missouri, United States
TVC	Cherry Capital Airport	Traverse City, Michigan, United States
TVF	Thief River Falls Regional Airport	Thief River Falls, Minnesota, United States
TVI	Thomasville Regional Airport	Thomasville, Georgia, United States
TVK	Centerville Municipal Airport	Centerville, Iowa, United States
TVL	Lake Tahoe Airport	South Lake Tahoe, California, United States
TVR	Vicksburg Tallulah Regional Airport	Tallulah, Louisiana / Vicksburg, Mississippi, United States
TVY	Dawei Airport	Dawei, Myanmar
TWA	Twin Hills Airport	Twin Hills, Alaska, United States
TWF	Joslin Field - Magic Valley Regional Airport	Twin Falls, Idaho, United States
TWM	Richard B. Helgeson Airport	Two Harbors, Minnesota, United States
TWU	Tawau Airport	Tawau, Sabah, Malaysia
TXK	Texarkana Regional Airport (Webb Field)	Texarkana, Arkansas, United States
TXL	Tegel International Airport	Berlin, Germany
TXG	Taichung Ching Chuang Kang Airport	Taichung, Taiwan
TYA	Yalova Airport	Yalova, Turkey
TYE	Tyonek Airport	Tyonek, Alaska, United States
TYL	Cap. FAP Víctor Montes Arias Airport	Talara, Peru
TYN	Taiyuan Airport	Taiyuan, China
TYO	All Airports	Tokyo, Japan
TYR	Tyler Pounds Regional Airport	Tyler, Texas, United States
TYS	McGhee Tyson Airport	Knoxville, Tennessee, United States
TYZ	Taylor Airport	Taylor, Arizona, United States
TZA	Belize City Municipal Airport	Belize City, Belize
TZR	Bolton Field	Columbus, Ohio, United States
TZT	Belle Plaine Municipal Airport	Belle Plaine, Iowa, United States
TZV	Tompkinsville-Monroe County Airport	Tompkinsville, Kentucky, United States
TZX	Trabzon Airport	Trabzon, Turkey
UAL	Luau Airport	Luau, Angola
UAM	Andersen Air Force Base	Agana, Guam
UAO	Aurora State Airport	Aurora, Oregon, United States
UAQ	Domingo Faustino Sarmiento Airport	San Juan Province, Argentina
UBA	Uberaba Municipal Airport	Uberaba, Minas Gerais, Brazil
UBJ	Yamaguchi Ube Airport	Ube, Yamaguchi Prefecture, Japan
UBP	Ubon Ratchathani Airport	Ubon Ratchathani, Thailand
UBS	Columbus-Lowndes County Airport	Columbus, Mississippi, United States
UBX	Cuba Municipal Airport	Cuba, Missouri, United States
UCA	Oneida County Airport	Utica, New York, United States
UCN	Buchanan Airport	Buchanan, Liberia
UCY	Everett-Stewart Airport	Union City, Tennessee, United States
UDD	Bermuda Dunes Airport	Palm Springs, California, United States
UDG	Darlington County Jetport Airport	Darlington, South Carolina, United States
UDE	Volkel Airport	Volkel, Netherlands
UDI	Ten. Cel. Av. César Bombonato Airport	Uberlândia, Brazil
UEL	Quelimane Airport	Quelimane, Mozambique
UES	Waukesha County Airport	Waukesha, Wisconsin, United States
UET	Quetta International Airport	Quetta, Pakistan
UFA	Ufa Airport	Ufa, Russia
UGA	Bulgan Airport	Bulgan, Bulgan, Mongolia
UGB	Ugashik Bay Airport	Pilot Point, Alaska, United States
UGN	Waukegan Regional Airport	Chicago/Waukegan, Illinois, United States
UHF	RAF Upper Heyford	Upper Heyford, England, United Kingdom
UIB	El Caraño Airport	Quibdó, Colombia
UIH	Phu Cat Airport	Qui Nhon, Binh Dinh, Vietnam
UIL	Quillayute Airport	Forks, Washington, United States
UIN	Quincy Regional Airport (Baldwin Field)	Quincy, Illinois, United States
UIO	Mariscal Sucre International Airport	Quito, Ecuador
UIP	Quimper - Cornouaille Airport	Quimper, France
UIT	Jaluit Airport	Jaluit Atoll, Marshall Islands
UJE	Ujae Airport	Ujae Atoll, Marshall Islands
UKB	Kobe Airport	Kobe, Japan
UKF	Wilkes County Airport	North Wilkesboro, North Carolina, United States
UKI	Ukiah Municipal Airport	Ukiah, California, United States
UKK	Oskemen Airport	Oskemen, Kazakhstan
UKL	Coffey County Airport	Burlington, Kansas, United States
UKS	Belbek Airport	Sevastopol, Autonomous Republic of Crimea, Ukraine
UKT	Quakertown Airport	Quakertown, Pennsylvania, United States
ULG	Ölgii Airport	Bayan-Ölgii Province, Mongolia
ULM	New Ulm Municipal Airport	New Ulm, Minnesota, United States
ULN	Chinggis Khaan International Airport	Ulan Bator, Mongolia
ULO	Ulaangom Airport	Ulaangom, Uvs Province, Mongolia
ULS	Ulysses Airport	Ulysses, Kansas, United States
ULY	Ulyanovsk Vostochny Airport	Ulyanovsk, Russia
UMD	Uummannaq Heliport	Uummannaq
UME	Alvik Airport	Umea, Sweden
UMM	Summit Airport (Alaska)	Summit, Alaska, United States
UMP	Indianapolis Metropolitan Airport	Indianapolis, Indiana, United States
UMT	Umiat Airport	Umiat, Alaska, United States
UNC	Unguía Airport	Unguía, Colombia
UND	Kunduz Airport	Kunduz, Afghanistan
UNI	Union Island Airport	Union Island, Saint Vincent and the Grenadines
UNK	Unalakleet Airport	Unalakleet, Alaska, United States
UNN	Ranong Airport	Ranong, Thailand
UNR	Öndörkhaan Airport	Öndörkhaan, Khentii, Mongolia
UNU	Dodge County Airport	Juneau, Wisconsin, United States
UOS	Franklin County Airport	Sewanee, Tennessee, United States
UOX	University-Oxford Airport	Oxford, Mississippi, United States
UPG	Sultan Hasanuddin International Airport	Makassar, Indonesia
UPK	Upernavik Kujalleq Heliport	Upernavik Kujalleq, Greenland
UPL	Upala Airport	Upala, Costa Rica
UPN	Lic. y Gen. Ignacio López Rayón International Airport	Uruapan, Michoacán, Mexico
UPP	Upolu Airport	Hawi, Hawaii, United States
URA	Oral Ak Zhol Airport	Oral, Kazakhstan
URC	Diwopu Airport	Urumqi, China
URE	Kuressaare Airport	Kuressaare, Saaremaa, Estonia
URG	Aeroporto Internacional Rubem Berta	Uruguaiana, Rio Grande do Sul, Brazil
URO	Rouen Vallée de Seine Airport	Rouen, France
URT	Surat Thani Airport	Surat Thani, Thailand
USE	Fulton County Airport	Wauseon, Ohio, United States
USH	Ushuaia - Malvinas Argentinas International Airport	Ushuaia, Argentina
USI	Mabaruma Airport	Mabaruma, Guyana
USM	Samui Airport	Surat Thani, Thailand
USQ	Usak Airport	Usak, Turkey
UST	St. Augustine Airport	St. Augustine, Florida, United States
USU	Busuanga Airport	Coron, Palawan, Philippines
UTA	Tunica Municipal Airport	Tunica, Mississippi, United States
UTI	Utti Airport	Utti / Valkeala, Finland
UTN	Upington Airport	Upington, South Africa
UTK	Utirik Airport	Utirik Atoll, Marshall Islands
UTO	Indian Mountain LRRS	Utopia Creek, Alaska, United States
UTP	U-Tapao International Airport	Rayong, Thailand
UUK	Ugnu-Kuparuk Airport	Kuparuk, Alaska, United States
UUO	Willow Airport	Willow, Alaska, United States
UUS	Yuzhno - Sakhalinsk Airport	Yuzhno-Sakhalinsk, Russia
UUU	Newport State Airport (Rhode Island)	Newport, Rhode Island, United States
UUV	Sullivan Regional Airport	Sullivan, Missouri, United States
UVA	Garner Field	Uvalde, Texas, United States
UVF	Hewanorra International Airport	Vieux-Fort, Saint Lucia
UWL	New Castle-Henry County Municipal Airport	New Castle, Indiana, United States
UYF	Madison County Airport	London, Ohio, United States
UYL	Nyala Airport	Nyala, Sudan
UZA	Rock Hill/York County Airport (Bryant Field)	Rock Hill, South Carolina, United States
UZC	Užice-Ponikve Airport	Užice, Serbia
VAA	Vaasa Airport	Vaasa, Finland
VAD	Moody AFB	Valdosta, Georgia, United States
VAF	Valence Chabeuil Airport	Valence, France
VAK	Chevak Airport	Chevak, Alaska, United States
VAN	Ferit Melen Airport	Van, Turkey
VAR	Varna Airport	Varna, Bulgaria
VAS	Sivas Airport	Sivas, Turkey
VAW	Vardø Airport, Svartnes	Vardø, Norway
VBG	Vandenberg AFB	Lompoc, California, United States
VBS	Brescia Montichiari International Airport	Brescia, Italy
VBT	Bentonville Municipal Airport (Louise M. Thaden Field)	Bentonville, Arkansas, United States
VBY	Visby Airport	Visby, Sweden
VBW	Bridgewater Air Park Airport	Bridgewater, Virginia, United States
VCA	Tra Noc International Airport	Can Tho, Vietnam
VCB	Nut Tree Airport	Vacaville, California, United States
VCC	Limbe Airport	Limbe, Cameroon
VCE	Marco Polo International Airport	Venice, Italy
VCL	Chu Lai Airport	Chu Lai, Quang Nam, Vietnam
VCP	Viracopos-Campinas International Airport	Campinas, São Paulo State, Brazil
VCS	Co Ong Airport	Con Son, Con Dao, Ba Ria - Vung Tau, Vietnam
VCT	Victoria Regional Airport	Victoria, Texas, United States
VCV	Southern California Logistics Airport	Victorville, California, United States
VDA	Ovda International Airport	Ovda, Israel
VDB	Fagernes Airport, Leirin	Fagernes, Norway
VDI	Vidalia Regional Airport	Vidalia, Georgia, United States
VDM	Gobernador Edgardo Castello Airport	Viedma, Argentina
VDP	Vamdrup Airport	Vamdrup, Kolding, Denmark
VDS	Vadsø Airport	Vadsø, Finnmark, Norway
VDZ	Valdez Pioneer Field	Valdez, Alaska, United States
VEE	Venetie Airport	Venetie, Alaska, United States
VEL	Vernal Airport	Vernal, Utah, United States
VER	General Heriberto Jara International Airport	Veracruz, Veracruz, Mexico
VES	Darke County Airport	Versailles, Ohio, United States
